Date,Irradiance(MJ/m2)
2014/10/16,14.36
2014/10/17,17.41
2014/10/18,15.19
2014/10/19,16.58
2014/10/20,10.25
2014/10/21,3.35
2014/10/22,1.17
2014/10/23,4.16
2014/10/24,13.27
2014/10/25,14.55
2014/10/26,10.05
2014/10/27,8.7
2014/10/28,15.73
2014/10/29,15.73
2014/10/30,13.67
2014/10/31,5.75
2014/11/1,2.46
2014/11/2,8.83
2014/11/3,9.46
2014/11/4,14.95
2014/11/5,6.51
2014/11/6,7.03
2014/11/7,12.79
2014/11/8,1.67
2014/11/9,4.95
2014/11/10,13.01
2014/11/11,2.52
2014/11/12,2.89
2014/11/13,13.44
2014/11/14,13.4
2014/11/15,13.47
2014/11/16,11.7
2014/11/17,8.36
2014/11/18,12.65
2014/11/19,13.17
2014/11/20,4.98
2014/11/21,11.62
2014/11/22,11.76
2014/11/23,11.97
2014/11/24,5.77
2014/11/25,0.99
2014/11/26,0.88
2014/11/27,11.62
2014/11/28,4.69
2014/11/29,2.39
2014/11/30,7.48
2014/12/1,1.54
2014/12/2,1.29
2014/12/3,9.47
2014/12/4,2.22
2014/12/5,5.62
2014/12/6,10.75
2014/12/7,10.9
2014/12/8,10.48
2014/12/9,10.94
2014/12/10,7.97
2014/12/11,3.27
2014/12/12,4.4
2014/12/13,11.37
2014/12/14,10.52
2014/12/15,10.83
2014/12/16,2.78
2014/12/17,11.47
2014/12/18,11.56
2014/12/19,11.07
2014/12/20,3.45
2014/12/21,7.89
2014/12/22,11.32
2014/12/23,11.08
2014/12/24,9.58
2014/12/25,6.63
2014/12/26,11.16
2014/12/27,11.34
2014/12/28,9.39
2014/12/29,1.22
2014/12/30,9.22
2014/12/31,10.36
2015/1/1,4.52
2015/1/2,9.05
2015/1/3,11.64
2015/1/4,8.78
2015/1/5,10.99
2015/1/6,2.44
2015/1/7,6.42
2015/1/8,11.82
2015/1/9,11.95
2015/1/10,12.05
2015/1/11,11.54
2015/1/12,12.29
2015/1/13,12.11
2015/1/14,9.88
2015/1/15,0.97
2015/1/16,10.98
2015/1/17,9.9
2015/1/18,12.77
2015/1/19,12.42
2015/1/20,12.5
2015/1/21,1.59
2015/1/22,1.18
2015/1/23,11.31
2015/1/24,5.67
2015/1/25,11.59
2015/1/26,9.41
2015/1/27,9.79
2015/1/28,11.33
2015/1/29,12.13
